,Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Decade
463,4272,1987-01-05,Creepshow 2,3500000,14000000,14000000,1980
464,2751,1987-01-30,Radio Days,16000000,14792779,14792779,1980
465,3965,1987-02-27,A Nightmare On Elm Street 3: Dream Warriors,5000000,44793222,44793222,1980
466,2026,1987-03-06,The Untouchables,25000000,76270454,76270454,1980
467,4282,1987-03-13,Evil Dead II,3500000,5923044,5923044,1980
468,4209,1987-03-31,The Barbarians,4000000,800000,800000,1980
469,4827,1987-04-09,The Offspring,1100000,1355728,1355728,1980
470,1400,1987-05-15,Ishtar,40000000,14375181,14375181,1980
471,2310,1987-05-20,Beverly Hills Cop II,20000000,276665036,153665036,1980
472,2806,1987-06-03,Lethal Weapon,15000000,120192350,65192350,1980
473,1877,1987-06-11,Cry Freedom,29000000,25899797,5899797,1980
474,4523,1987-06-19,The Brave Little Toaster,2300000,0,0,1980
475,2227,1987-06-24,Spaceballs,22700000,38119483,38119483,1980
476,2213,1987-07-17,Jaws 4: The Revenge,23000000,15728335,15728335,1980
477,3040,1987-07-17,RoboCop,13000000,53424681,53424681,1980
478,2697,1987-07-24,Superman IV: The Quest for Peace,17000000,11227824,11227824,1980
479,3803,1987-07-24,La Bamba,6500000,54215416,54215416,1980
480,1337,1987-07-31,The Living Daylights,40000000,191200000,51185000,1980
481,3572,1987-07-31,The Lost Boys,8500000,32222567,32222567,1980
482,4649,1987-08-05,River's Edge,1900000,4600000,4600000,1980
483,2959,1987-09-18,Fatal Attraction,14000000,320100000,156645693,1980
484,4850,1987-09-18,Hellraiser,1000000,14564000,14564000,1980
485,2839,1987-09-25,The Princess Bride,15000000,30857000,30857000,1980
486,2717,1987-11-12,Wall Street,16500000,43848100,43848100,1980
487,1783,1987-11-13,The Running Man,30000000,38122000,38122000,1980
488,2050,1987-11-20,The Last Emperor,25000000,43988888,43984987,1980
489,4364,1987-11-20,Teen Wolf Too,3000000,7888000,7888000,1980
490,2791,1987-11-25,3 Men and a Baby,15000000,167780960,167780960,1980
491,2576,1987-12-06,Predator,18000000,98267558,59735548,1980
492,3031,1987-12-23,Good Morning Vietnam,13000000,123922370,123922370,1980
493,2100,1988-01-04,"Bright Lights, Big City",25000000,16118077,16118077,1980
