Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross
4808,1982-11-19,Q,1200000,255000,255000
3099,1982-12-02,La Guerre du feu,12500000,20959585,20959585
2790,1982-12-17,Tootsie,15000000,177200000,177200000
5131,1983-01-01,E tu vivrai nel terrore - L'aldilà,400000,126387,126387
3300,1983-02-18,Lovesick,10100000,10143618,10143618
3129,1983-03-06,WarGames,12000000,74433837,74433837
3350,1983-03-25,The Outsiders,10000000,25697647,25697647
3903,1983-04-02,Videodrome,5952000,2120439,2120439
3711,1983-04-15,Flashdance,7000000,201463574,90463574
4012,1983-04-15,Lone Wolf McQuade,5000000,12232628,12232628
5142,1983-04-15,The Evil Dead,375000,29400000,2400000
1657,1983-05-25,Star Wars Ep. VI: Return of the Jedi,32500000,572705079,309205079
1437,1983-06-17,Superman III,39000000,59950623,59950623
3342,1983-06-24,Twilight Zone: The Movie,10000000,29500000,29500000
1493,1983-07-10,Never Say Never Again,36000000,160000000,55500000
2808,1983-07-29,National Lampoon’s Vacation,15000000,61400000,61400000
3763,1983-08-04,Losin' It,7000000,1246141,1246141
4767,1983-08-19,The Ballad of Gregorio Cortez,1305000,909000,909000
2048,1983-09-12,Scarface,25000000,44942821,44942821
2896,1983-09-30,Brainstorm,15000000,8921050,8921050
1929,1983-10-06,Octopussy,27500000,187500000,67900000
1949,1983-10-21,The Right Stuff,27000000,21500000,21500000
3357,1983-10-21,The Dead Zone,10000000,20766000,20766000
3648,1983-10-28,The Wicked Lady,8000000,589308,589308
3140,1983-11-18,Yentl,12000000,39012241,39012241
4317,1983-11-18,A Christmas Story,3250000,20605209,20605209
1841,1984-01-06,Once Upon a Time in America,30000000,5564014,5321508
2570,1984-01-06,Star Trek III: The Search for Spock,18000000,87000000,76471046
4722,1984-02-03,Repo Man,1500000,2300000,2300000
3595,1984-02-17,Footloose,8200000,80000000,80000000
3529,1984-03-16,The Ice Pirates,9000000,13075390,13075390
4113,1984-03-23,Police Academy,4500000,81198894,81198894
4459,1984-04-13,Friday the 13th Part IV: The Final Chapter,2600000,32980880,32980880
5045,1984-04-27,Love Letters,550000,5269990,5269990
2788,1984-05-12,Beverly Hills Cop,15000000,316300000,234760478
1882,1984-05-23,Indiana Jones and the Temple of Doom,28000000,333080271,179880271
3597,1984-06-22,The Karate Kid,8000000,90815558,90815558
2596,1984-06-29,Conan the Destroyer,18000000,26400000,26400000
1950,1984-07-20,Die Unendliche Geschichte,27000000,21300000,21300000
1704,1984-08-06,Ghostbusters,30000000,295212467,242212467
3240,1984-08-06,Gremlins,11000000,148168459,148168459
2133,1984-08-17,Sheena,25000000,5778353,5778353
4786,1984-08-31,C.H.U.D.,1250000,4700000,4700000
3599,1984-09-03,Splash,8000000,62599495,62599495
3686,1984-09-03,The Hotel New Hampshire,7500000,5142858,5142858
4662,1984-09-11,A Nightmare on Elm Street,1800000,25504513,25504513
2581,1984-09-19,Amadeus,18000000,51973029,51973029
3392,1984-10-26,Body Double,10000000,8801940,8801940
3820,1984-10-26,The Terminator,6400000,78019031,38019031
2871,1984-11-05,Firestarter,15000000,15136870,15136870
1139,1984-12-14,The Cotton Club,48000000,25928721,25928721
1204,1984-12-14,Dune,45000000,27447471,27447471
1933,1984-12-14,A Passage to India,27500000,27187653,27187653
5109,1984-12-31,The Toxic Avenger,475000,0,0
4342,1985-01-11,A Nightmare On Elm Street Part 2: Freddy's Revenge,3000000,21163999,21163999
4724,1985-01-18,Blood Simple,1500000,2730877,1690913
2527,1985-03-07,Back to the Future,19000000,385524862,212259762
4775,1985-03-15,Def-Con 4,1300000,210904,210904
3333,1985-03-22,The Last Dragon,10000000,33000000,33000000
4527,1985-03-22,Friday the 13th Part V: A New Beginning,2200000,21930418,21930418
3328,1985-04-10,Commando,10000000,35073978,35073978
2604,1985-04-12,Young Sherlock Holmes,18000000,19739000,19739000
1233,1985-05-22,Rambo: First Blood Part II,44000000,300400000,150415432
1762,1985-05-24,A View to a Kill,30000000,152627960,50327960
4592,1985-06-11,Subway,2000000,1663296,390659
1955,1985-06-21,Return to Oz,27000000,10618813,10618813
2117,1985-06-21,Lifeforce,25000000,11603545,11603545
2654,1985-06-28,Red Sonja,17900000,6905861,6905861
3788,1985-06-28,Pale Rider,6900000,41410568,41410568
4283,1985-06-30,Day of the Dead,3500000,34004262,5804262
3132,1985-08-02,Witness,12000000,65532576,65532576
4178,1985-08-16,The Return of the Living Dead,4000000,14237880,14237880
3365,1985-09-27,Invasion U.S.A.,10000000,17536256,17536256
1986,1985-10-07,Silverado,26000000,33200000,33200000
3325,1985-10-07,Mad Max Beyond Thunderdome,10000000,36230219,36230219
4356,1985-10-25,Krush Groove,3000000,11052713,11052713
3737,1985-11-10,Silver Bullet,7000000,10803211,10803211
2410,1985-12-04,Ladyhawke,20000000,18400000,18400000
1695,1985-12-18,Out of Africa,31000000,258210860,79096868
2799,1985-12-18,The Color Purple,15000000,93589701,93589701
2890,1985-12-18,Brazil,15000000,9930649,9929135
5136,1986-01-04,My Beautiful Laundrette,400000,0,0
1424,1986-01-07,Pirates,40000000,6341825,1641825
2121,1986-01-07,Big Trouble in Little China,25000000,11100000,11100000
1822,1986-01-08,Howard the Duck,30000000,16295774,16295774
4345,1986-01-08,Friday the 13th Part VI: Jason Lives,3000000,19472057,19472057
2921,1986-01-17,The Clan of the Cave Bear,15000000,1953732,1953732
2623,1986-02-21,Nine 1/2 Weeks,18000000,6734844,6734844
1623,1986-03-10,Playing for Keeps,35000000,2000000,2000000
4010,1986-03-27,April Fool's Day,5000000,12947763,12947763
2102,1986-04-18,Legend,25000000,23506237,15502112
4125,1986-04-23,Salvador,4500000,1500000,1500000
2641,1986-04-25,8 Million Ways to Die,18000000,1305114,1305114
2789,1986-05-16,Top Gun,15000000,356800601,179800601
3193,1986-06-06,Invaders from Mars,12000000,4984663,4884663
1340,1986-06-18,Legal Eagles,40000000,49851591,49851591
2760,1986-07-03,Highlander,16000000,12900000,5900000
4343,1986-07-03,A Room with a View,3000000,20966644,20966644
2667,1986-07-18,Aliens,17000000,183316455,85160248
3602,1986-08-08,Stand by Me,8000000,52287414,52287414
5261,1986-08-08,She's Gotta Have It,175000,7137502,7137502
4101,1986-08-22,The Texas Chainsaw Massacre 2,4700000,8025872,8025872
2705,1986-08-29,Shanghai Surprise,17000000,2315000,2315000
3564,1986-09-26,Crocodile Dundee,8800000,328203506,174803506
2586,1986-10-10,Peggy Sue Got Married,18000000,41382841,41382841
3314,1986-10-17,The Color of Money,10000000,52293000,52293000
